Message Id,Time,Sender Name,Reply Id,Message
558402,2020-11-23T10:56:45+00:00,dmiklashevskaya,,"Так они все равно пропадают через 2-3 месяца"
558403,2020-11-23T10:56:51+00:00,udntwnme,,"Я хожу в магазин (ну в маске) и в ск (верю в то, что там все сильные и здоровые)"
558404,2020-11-23T10:57:21+00:00,PRYRAN,,"бля, я думал это я такой ахуевший"
558405,2020-11-23T10:57:29+00:00,PRYRAN,,"с ковидом иногда позволяю себе забежать по быстому в магаз"
558406,2020-11-23T10:57:34+00:00,fatawesome,558403,"@mmmsalo"
558407,2020-11-23T10:57:34+00:00,ysukhorukov,558400,"мидихлорианы"
558408,2020-11-23T10:57:35+00:00,fatawesome,,"))"
558409,2020-11-23T10:57:38+00:00,udntwnme,558405,"Эй, я не с ковидом"
558410,2020-11-23T10:57:44+00:00,PRYRAN,,"всм)"
558411,2020-11-23T10:57:49+00:00,PRYRAN,,"ну, у меня тоже тест отрицательный"
558412,2020-11-23T10:57:55+00:00,fatawesome,558405,"ты че ебнутый 😄"
558413,2020-11-23T10:57:59+00:00,udntwnme,,"Я вообще без всего, ало"
558414,2020-11-23T10:58:44+00:00,udntwnme,,"Я не болею если что, контактировала с человеком 12 дней назад, ему только сейчас тест пришёл"
558415,2020-11-23T10:59:40+00:00,dmiklashevskaya,,"У меня тоже весь клуб не заболел \nХотя я за пару дней до теста с ними встречу проводила 😅"
558416,2020-11-23T10:59:40+00:00,ysukhorukov,558411,"Зная то как у нас берут тесты, я бы не был так уверен"
558417,2020-11-23T10:59:41+00:00,mmmsalo,558406,"?"
558418,2020-11-23T10:59:50+00:00,dmiklashevskaya,,"А челы из бара все заболели"
558419,2020-11-23T10:59:56+00:00,fatawesome,558417,"сильный и здоровый?"
558420,2020-11-23T11:00:03+00:00,mmmsalo,,"Канеш"
558421,2020-11-23T11:00:09+00:00,mmmsalo,,"Переболевший"
558422,2020-11-23T11:00:11+00:00,mmmsalo,,"Сильный"
558423,2020-11-23T11:00:14+00:00,mmmsalo,,"Мощный"
558424,2020-11-23T11:00:18+00:00,CherryColored,,"А ещё есть люди которым низя ставить прививки\nВообще никакие"
558425,2020-11-23T11:01:03+00:00,mmmsalo,558418,"Забавно. Мне пришёл положительный тест в начале осени, а я буквально на неделе перед результатом тусил в компании несколько раз. Никто не болел у всех кто сдавал - отрицательно"
558426,2020-11-23T11:01:32+00:00,simplearink,558425,"Ну может ложноположительный был"
558427,2020-11-23T11:01:49+00:00,mmmsalo,,"А. Не нравится удаленка. Получается ебланить, потому что в этом семестре все курсы кроме элективов- какая-то ебаная параша)0)0)00) о каком качестве образования речь может идти?"
558428,2020-11-23T11:01:51+00:00,jenamax,558426,"Вроде как такого не бывает"
558429,2020-11-23T11:01:58+00:00,mmmsalo,558426,"У всей семьи?)"
558430,2020-11-23T11:02:00+00:00,dmiklashevskaya,558425,"Да, я встретилась за две недели до теста с ребятами в баре — все заболели \nА проводила шесть встреч за эти две недели — никто не заболел \n\n\n\nВообще рандом"
558431,2020-11-23T11:02:04+00:00,mmmsalo,,"Мб уже выздоровление было"
558432,2020-11-23T11:02:27+00:00,simplearink,558429,"Базару нет"
558433,2020-11-23T11:02:40+00:00,simplearink,558428,"Бывает. Тесты же на беременность бывают такими)))"
558434,2020-11-23T11:02:57+00:00,dmiklashevskaya,558428,"Бывает)"
558435,2020-11-23T11:03:00+00:00,fatawesome,558427,"Видел мидтерм по леджерам?"
558436,2020-11-23T11:03:10+00:00,jenamax,,"Ну конкретно про тесты на корону я слышал что не бывает ложноположительных"
558437,2020-11-23T11:03:33+00:00,Mustafin,558436,"Да, ты же не можешь увидеть вирус, если его нет. А вот если есть, можно не заметить"
558438,2020-11-23T11:03:42+00:00,Apostrov,558424,"Если аллергия на какой-то из компонентов прививки, то нельзя. В общем прививки на каких-нибуль больных гемофилией опасно ставить, от внутримышечной они могут отъехать"
558439,2020-11-23T11:03:43+00:00,udntwnme,,"Мидтерм по леджерам:"
558440,2020-11-23T11:03:49+00:00,Mustafin,558439,""
558441,2020-11-23T11:03:54+00:00,fatawesome,558439,"надо было сохранить интригу!!1"
558442,2020-11-23T11:04:08+00:00,dmiklashevskaya,558438,"Ещё с очень слабым иммунитетом нельзя"
